dico,indicator,name,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
1510,dormidas,Seixal,36779,,,,1233,,,,,,,
1511,dormidas,Sesimbra,197457,179552,164684,153014,123658,117873,117319,116784,128531,126597,106621,124390
1512,dormidas,Setúbal,309044,270169,261036,264416,225013,203361,203913,201660,231137,273974,295235,266763
1513,dormidas,Sines,70442,71937,68260,74933,66035,63289,79966,61315,60191,73643,63839,65547
1601,dormidas,Arcos de Valdevez,44860,41489,19595,12051,20228,10151,9948,10704,13717,10705,10270,6034
1602,dormidas,Caminha,79748,70089,63812,46455,46992,44706,43444,32128,32276,53691,55183,60326
1603,dormidas,Melgaço,31065,30224,23296,22465,20019,21223,,,,24893,,24116
1604,dormidas,Monção,27859,23491,19307,6163,17325,,,2328,14947,,17133,13685
1605,dormidas,Paredes de Coura,2726,944,1004,,3081,,,,,,,
1606,dormidas,Ponte da Barca,4106,3144,2197,,4478,,,2565,2029,4153,5771,2935
1607,dormidas,Ponte de Lima,45110,34546,26693,24460,29962,15087,17315,17559,24325,32708,29461,27222
1608,dormidas,Valença,39587,34152,32117,32705,32265,34623,31281,32348,33821,31894,41278,37677
1609,dormidas,Viana do Castelo,203116,159076,140609,124063,124412,99909,115474,129113,161425,145523,137704,119221
1610,dormidas,Vila Nova de Cerveira,66332,65080,62061,52666,42025,28356,17166,26219,30095,29840,36280,14790
1701,dormidas,Alijó,40828,35540,36657,34328,31137,26044,29346,26199,22554,26580,23031,21263
1702,dormidas,Boticas,13149,4767,,,1930,,,1258,,,,
1703,dormidas,Chaves,138272,139159,138609,117076,128212,109712,107275,113446,106308,86727,90942,110842
1704,dormidas,Mesão Frio,3293,,,,3105,,,,,,,
1705,dormidas,Mondim de Basto,,,,,,,,,,,,
1706,dormidas,Montalegre,3213,15239,23046,22905,16611,12173,13651,15689,13717,15957,14730,14174
1707,dormidas,Murça,,,,,,,,,,,,
1708,dormidas,Peso da Régua,47938,46880,50291,42963,44234,41428,46539,55351,52437,50563,50203,49818
1709,dormidas,Ribeira de Pena,31933,8991,,,2120,,,,,,,
1710,dormidas,Sabrosa,216,267,98,,11229,,,,,,,
1711,dormidas,Santa Marta de Penaguião,267,260,238,,881,,,,,,,
1712,dormidas,Valpaços,2047,5821,2599,,3207,2924,2527,2571,2696,3302,2402,
1713,dormidas,Vila Pouca de Aguiar,21826,14857,12687,5422,5120,,4994,5515,7000,7928,5380,6726
1714,dormidas,Vila Real,68756,67014,63271,63903,54816,43724,47990,50168,53782,54475,62398,58501
1801,dormidas,Armamar,6043,5975,4759,,8457,,,,1822,,,
1802,dormidas,Carregal do Sal,2916,3588,2629,,,,,,,,,
1803,dormidas,Castro Daire,16182,6950,5256,,,,,,,,,
1804,dormidas,Cinfães,7399,7243,7313,,8412,,,,,,,
