dico,name,indicator,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1703,Chaves,pop-residente,42733,42464,42113,41785,41336,41225,40903,40672,40382,40138
1704,Mesão Frio,pop-residente,4698,4636,4581,4519,4444,4386,4311,4234,4164,4101
1705,Mondim de Basto,pop-residente,8048,7927,7771,7652,7522,7465,7401,7313,7231,7160
1706,Montalegre,pop-residente,11507,11294,11050,10831,10578,10387,10163,9935,9734,9541
1707,Murça,pop-residente,6320,6237,6135,6046,5962,5938,5861,5773,5718,5633
1708,Peso da Régua,pop-residente,17961,17816,17600,17369,17157,17036,16793,16597,16395,16225
1709,Ribeira de Pena,pop-residente,6964,6901,6803,6680,6564,6517,6419,6346,6269,6222
1710,Sabrosa,pop-residente,6678,6611,6537,6458,6378,6339,6256,6172,6099,6024
1711,Santa Marta de Penaguião,pop-residente,7916,7785,7634,7499,7371,7274,7152,7045,6940,6848
1712,Valpaços,pop-residente,18149,17884,17595,17277,16931,16699,16407,16097,15875,15620
1713,Vila Pouca de Aguiar,pop-residente,14093,13856,13648,13431,13214,13093,12912,12726,12557,12430
1714,Vila Real,pop-residente,51503,51651,51709,51826,51923,51782,51417,51009,50626,50376
1801,Armamar,pop-residente,6851,6736,6598,6473,6324,6258,6150,6076,6006,5939
1802,Carregal do Sal,pop-residente,10140,10067,9973,9920,9837,9784,9711,9656,9598,9580
1803,Castro Daire,pop-residente,16106,15916,15741,15567,15369,15182,14976,14789,14638,14552
1804,Cinfães,pop-residente,21397,21226,20985,20737,20464,20254,19953,19647,19365,19122
1805,Lamego,pop-residente,27489,27366,27179,26999,26745,26566,26293,26007,25751,25480
1806,Mangualde,pop-residente,20467,20333,20178,20072,19929,19772,19633,19485,19300,19241
1807,Moimenta da Beira,pop-residente,10645,10544,10435,10332,10211,10190,10106,10025,9936,9872
1808,Mortágua,pop-residente,9985,9898,9817,9723,9634,9531,9439,9344,9240,9184
1809,Nelas,pop-residente,14201,14209,14172,14105,14037,13951,13798,13670,13563,13472
1810,Oliveira de Frades,pop-residente,10426,10392,10367,10329,10273,10246,10207,10153,10089,10060
1811,Penalva do Castelo,pop-residente,8432,8331,8224,8100,7967,7893,7795,7679,7579,7493
1812,Penedono,pop-residente,3184,3137,3075,3028,2962,2927,2876,2831,2774,2736
1813,Resende,pop-residente,11854,11780,11659,11537,11397,11280,11083,10901,10725,10592
1814,Santa Comba Dão,pop-residente,12005,11911,11822,11726,11612,11474,11317,11166,11010,10905
1815,São João da Pesqueira,pop-residente,8254,8188,8079,8001,7905,7799,7666,7555,7465,7370
1816,São Pedro do Sul,pop-residente,17809,17540,17301,17074,16880,16695,16521,16336,16165,16065
1817,Sátão,pop-residente,12858,12802,12700,12605,12491,12370,12261,12147,12010,11949
1818,Sernancelhe,pop-residente,5937,5875,5806,5750,5681,5673,5634,5594,5538,5484
1819,Tabuaço,pop-residente,6555,6506,6470,6428,6364,6347,6301,6247,6186,6138
1820,Tarouca,pop-residente,8233,8221,8161,8130,8068,8018,7959,7894,7833,7784
1821,Tondela,pop-residente,29984,29804,29561,29315,29014,28733,28488,28167,27848,27701
1822,Vila Nova de Paiva,pop-residente,5595,5500,5398,5293,5183,5135,5079,5007,4949,4909
1823,Viseu,pop-residente,97371,97861,98362,98914,99313,99093,98778,98424,98093,98164
1824,Vouzela,pop-residente,11169,11050,10902,10736,10575,10469,10341,10222,10099,10037
3101,Calheta (R.A.M.),pop-residente,11796,11790,11712,11630,11540,11403,11372,11295,11170,11052
3102,Câmara de Lobos,pop-residente,35626,35759,35723,35715,35656,35192,35025,34798,34482,34246
3103,Funchal,pop-residente,109793,110584,111140,111599,111990,109990,109149,108053,106721,105562
3104,Machico,pop-residente,22067,22037,21988,21926,21851,21453,21336,21147,20874,20654
3105,Ponta do Sol,pop-residente,8651,8726,8754,8817,8863,8808,8798,8787,8694,8619
3106,Porto Moniz,pop-residente,2823,2805,2782,2762,2719,2643,2582,2530,2469,2417
3107,Ribeira Brava,pop-residente,13202,13291,13341,13381,13387,13144,13032,12889,12720,12555
3108,Santa Cruz,pop-residente,37830,39193,40501,41816,43009,43086,43529,43827,43873,43925
3109,Santana,pop-residente,8221,8117,8007,7871,7731,7543,7404,7272,7131,6992
3110,São Vicente,pop-residente,5960,5932,5876,5810,5733,5589,5518,5416,5301,5216
3201,Porto Santo,pop-residente,5110,5212,5314,5388,5486,5385,5346,5299,5251,5186
4101,Vila do Porto,pop-residente,5588,5595,5592,5579,5554,5595,5632,5663,5650,5652
4201,Lagoa (R.A.A),pop-residente,14367,14407,14421,14421,14435,14506,14605,14666,14667,14681
4202,Nordeste,pop-residente,5110,5079,5044,5019,4956,4976,4996,5012,4990,4977
4203,Ponta Delgada,pop-residente,67937,68233,68444,68679,68795,68846,68876,68768,68517,68403
4204,Povoação,pop-residente,6528,6485,6439,6399,6323,6290,6253,6200,6149,6132
4205,Ribeira Grande,pop-residente,30600,31025,31385,31731,32054,32299,32513,32661,32625,32720
4206,Vila Franca do Campo,pop-residente,11198,11232,11234,11228,11204,11270,11308,11331,11286,11300
